"","id","condition","model","parsname","pars","LL","BIC","AIC","age_group"
"111",37,"Stable","RFTDDM","nk",53,12302.0330875574,24620.078789354,24620.078789354,"Old"
"112",38,"Stable","RFTDDM","a",2.35931224908969,86865.7289806776,173747.513535756,173747.513535756,"Old"
"113",38,"Stable","RFTDDM","t0",3.86351617730885,86865.7289806776,173747.513535756,173747.513535756,"Old"
"114",38,"Stable","RFTDDM","nk",29,86865.7289806776,173747.513535756,173747.513535756,"Old"
"115",39,"Stable","RFTDDM","a",1.9957672648667,5447.20805980326,10910.8203000299,10910.8203000299,"Old"
"116",39,"Stable","RFTDDM","t0",1.39825115351724,5447.20805980326,10910.8203000299,10910.8203000299,"Old"
"117",39,"Stable","RFTDDM","nk",62,5447.20805980326,10910.8203000299,10910.8203000299,"Old"
"118",40,"Decreasing","RFTDDM","a",16.2348198256967,17829.2352620869,35674.0660152676,35674.0660152676,"Old"
"119",40,"Decreasing","RFTDDM","t0",3.66578069116299,17829.2352620869,35674.0660152676,35674.0660152676,"Old"
"120",40,"Decreasing","RFTDDM","nk",29,17829.2352620869,35674.0660152676,35674.0660152676,"Old"
"121",41,"Stable","RFTDDM","a",10.3091421856755,13743.3888481602,27502.5501824364,27502.5501824364,"Old"
"122",41,"Stable","RFTDDM","t0",1,13743.3888481602,27502.5501824364,27502.5501824364,"Old"
"123",41,"Stable","RFTDDM","nk",44,13743.3888481602,27502.5501824364,27502.5501824364,"Old"
"124",42,"Decreasing","RFTDDM","a",2.1129128706732,6511.69142550324,13039.8122416623,13039.8122416623,"Old"
"125",42,"Decreasing","RFTDDM","t0",2.37594929722274,6511.69142550324,13039.8122416623,13039.8122416623,"Old"
"126",42,"Decreasing","RFTDDM","nk",45,6511.69142550324,13039.8122416623,13039.8122416623,"Old"
"127",43,"Stable","RFTDDM","a",2.4680968799648,8609.0509628092,17234.5438423884,17234.5438423884,"Old"
"128",43,"Stable","RFTDDM","t0",2.28777027945161,8609.0509628092,17234.5438423884,17234.5438423884,"Old"
"129",43,"Stable","RFTDDM","nk",85,8609.0509628092,17234.5438423884,17234.5438423884,"Old"
