"","id","condition","model","parsname","pars","LL","convergence","BIC"
"189",38,"Stable","RTF","sigma_rtf",7.20618734559247,-97.1427642770022,0,10.9582169378071
"190",38,"Stable","RTF","nk",30,-97.1427642770022,0,10.9582169378071
"191",39,"Stable","Ctl","tau",0.44385026565546,-224.384651285774,0,2.5424999105269
"192",39,"Stable","Ctl","sigma_ctl",0.164388198660727,-224.384651285774,0,2.5424999105269
"193",39,"Stable","RTF","tau0",43.2134950998217,-233.233152095292,0,9.12963201523536
"194",39,"Stable","RTF","sigma_rtf",17.9404264560799,-233.233152095292,0,9.12963201523536
"195",39,"Stable","RTF","nk",45,-233.233152095292,0,9.12963201523536
"196",40,"Decreasing","Ctl","tau",0.405649426790064,-292.628677160119,0,2.01141447163671
"197",40,"Decreasing","Ctl","sigma_ctl",0.177347743601366,-292.628677160119,0,2.01141447163671
"198",40,"Decreasing","RTF","tau0",50.7129451732115,-291.965775546671,0,8.68819760866256
"199",40,"Decreasing","RTF","sigma_rtf",20.1275303669318,-291.965775546671,0,8.68819760866256
"200",40,"Decreasing","RTF","nk",50,-291.965775546671,0,8.68819760866256
"201",41,"Stable","Ctl","tau",0.435255149510133,-117.831284229682,0,3.83071584199545
"202",41,"Stable","Ctl","sigma_ctl",0.0848245163064815,-117.831284229682,0,3.83071584199545
"203",41,"Stable","RTF","tau0",42.8332796444279,-111.7659960906,0,10.5534702661766
"204",41,"Stable","RTF","sigma_rtf",8.43940181862493,-111.7659960906,0,10.5534702661766
"205",41,"Stable","RTF","nk",16,-111.7659960906,0,10.5534702661766
"206",42,"Decreasing","Ctl","tau",0.306737610564216,-145.860742071307,0,3.40391876513223
"207",42,"Decreasing","Ctl","sigma_ctl",0.0642797889251476,-145.860742071307,0,3.40391876513223
"208",42,"Decreasing","RTF","tau0",40.0454698605209,-170.994054190771,0,9.88915573690072
"209",42,"Decreasing","RTF","sigma_rtf",9.75813744737368,-170.994054190771,0,9.88915573690072
"210",42,"Decreasing","RTF","nk",48,-170.994054190771,0,9.88915573690072
"211",43,"Stable","Ctl","tau",0.353179479293203,-120.221704160926,0,3.79054830960896
"212",43,"Stable","Ctl","sigma_ctl",0.0852544705639506,-120.221704160926,0,3.79054830960896
"213",43,"Stable","RTF","tau0",34.9897563380675,-121.805301408624,0,10.38062803897
"214",43,"Stable","RTF","sigma_rtf",8.9594413542523,-121.805301408624,0,10.38062803897
"215",43,"Stable","RTF","nk",49,-121.805301408624,0,10.38062803897
"216",44,"Stable","Ctl","tau",0.269600611696659,-137.298499278253,0,3.52490869038449
"217",44,"Stable","Ctl","sigma_ctl",0.109661898058137,-137.298499278253,0,3.52490869038449
"218",44,"Stable","RTF","tau0",25.3638804680597,-144.780165620285,0,10.1232887565893
"219",44,"Stable","RTF","sigma_rtf",11.4602329169704,-144.780165620285,0,10.1232887565893
"220",44,"Stable","RTF","nk",49,-144.780165620285,0,10.1232887565893
"221",45,"Decreasing","Ctl","tau",0.390747753783951,-292.515749965735,0,2.01218643281792
"222",45,"Decreasing","Ctl","sigma_ctl",0.172875199829003,-292.515749965735,0,2.01218643281792
"223",45,"Decreasing","RTF","tau0",50.2495532169971,-225.734932525987,0,9.17776300911154
"224",45,"Decreasing","RTF","sigma_rtf",15.9648046590495,-225.734932525987,0,9.17776300911154
"225",45,"Decreasing","RTF","nk",39,-225.734932525987,0,9.17776300911154
