id,age,condition,counterbalance,block,trialinblock,trial,tstart,tend,trialstim,response,RT,trialtype,ethicfreq,norm_mean,norm_sd,norm_se
172,22,1,2,2,23,47,248.9259136,252.6169947,stimuli/250_yb.png,l,3.680664213,ambig,0.333,5.950819672,1.585625318,0.203018519
,,,,,,,,,,,,,,,,
172,22,1,2,2,24,48,253.1698961,259.1529772,stimuli/209_ya.png,l,5.972435512,ambig,0.333,5.603448276,1.825161903,0.239655499
,,,,,,,,,,,,,,,,
172,22,1,2,3,1,49,269.9477146,276.2969626,stimuli/131_xb.png,l,6.338818163,harmless,0.333,6.525423729,1.119666394,0.145768149
,,,,,,,,,,,,,,,,
172,22,1,2,3,2,50,276.9173546,282.2809386,stimuli/258_ya.png,l,5.353180936,ambig,0.333,5.627118644,1.78014243,0.231754804
,,,,,,,,,,,,,,,,
172,22,1,2,3,3,51,282.9130636,285.512967,stimuli/208_xb.png,l,2.589394753,harmless,0.333,6.216666667,1.165778516,0.150501359
,,,,,,,,,,,,,,,,
172,22,1,2,3,4,52,286.140772,287.9529622,stimuli/183_xb.png,l,1.801867933,harmless,0.333,6.448275862,1.095003225,0.143780967
,,,,,,,,,,,,,,,,
172,22,1,2,3,5,53,288.5717918,293.7849593,stimuli/361_za.png,a,5.202688865,awful,0.333,2.416666667,1.907093508,0.246204713
,,,,,,,,,,,,,,,,
172,22,1,2,3,6,54,294.3582781,300.904926,stimuli/286_ya.png,l,6.535992791,ambig,0.333,5.06779661,1.779814082,0.231712057
,,,,,,,,,,,,,,,,
172,22,1,2,3,7,55,301.5375812,305.4169304,stimuli/307_za.png,l,3.868847732,awful,0.333,2.93220339,2.172432347,0.282826601
,,,,,,,,,,,,,,,,
172,22,1,2,3,8,56,306.066777,308.6569614,stimuli/165_xb.png,l,2.579567116,harmless,0.333,6.557377049,1.008705278,0.129151477
,,,,,,,,,,,,,,,,
172,22,1,2,3,9,57,309.2720038,311.5689041,stimuli/276_ya.png,l,2.286498489,ambig,0.333,5.186440678,1.804922162,0.234980851
,,,,,,,,,,,,,,,,
172,22,1,2,3,10,58,312.1456875,318.3929224,stimuli/351_zb.png,l,6.236664771,awful,0.333,3.06779661,2.033040926,0.264679384
,,,,,,,,,,,,,,,,
172,22,1,2,3,11,59,319.0250281,321.4729203,stimuli/113_xb.png,l,2.437570301,harmless,0.333,6.733333333,0.660422737,0.085260209
,,,,,,,,,,,,,,,,
172,22,1,2,3,12,60,322.0899725,328.7129277,stimuli/207_yb.png,l,6.612666715,ambig,0.333,5.655737705,1.662179753,0.212820309
,,,,,,,,,,,,,,,,
172,22,1,2,3,13,61,329.3485292,332.2889214,stimuli/101_xa.png,l,2.929769395,harmless,0.333,6.508522727,1.13475832,0.060482822
,,,,,,,,,,,,,,,,
172,22,1,2,3,14,62,332.9443181,338.4648965,stimuli/362_zb.png,a,5.509900893,awful,0.333,1.474576271,1.222715071,0.159183944
,,,,,,,,,,,,,,,,
172,22,1,2,3,15,63,339.0782056,347.6249106,stimuli/324_za.png,l,8.536322046,awful,0.333,2.491525424,1.994586478,0.259673041
,,,,,,,,,,,,,,,,
172,22,1,2,3,16,64,348.228251,353.0329393,stimuli/263_ya.png,l,4.794211568,ambig,0.333,4.983050847,2.071910042,0.269739712
,,,,,,,,,,,,,,,,
172,22,1,2,3,17,65,353.6245794,356.6169277,stimuli/200_ya.png,l,2.982148934,ambig,0.333,5.862068966,1.444266048,0.189641423
,,,,,,,,,,,,,,,,
172,22,1,2,3,18,66,357.2234209,360.7689251,stimuli/301_za.png,l,3.535209825,awful,0.333,3.610169492,2.212947396,0.288101212
,,,,,,,,,,,,,,,,
172,22,1,2,3,19,67,361.3934729,364.0329491,stimuli/129_xa.png,l,2.629090484,harmless,0.333,6.770491803,0.642740036,0.082294429
,,,,,,,,,,,,,,,,
172,22,1,2,3,20,68,364.5992378,368.7369145,stimuli/372_zb.png,a,4.12721814,awful,0.333,2.796610169,2.082601664,0.271131643
,,,,,,,,,,,,,,,,
172,22,1,2,3,21,69,369.3437247,372.4248798,stimuli/224_yb.png,l,3.070693768,ambig,0.333,5.881355932,1.609077116,0.209483997
,,,,,,,,,,,,,,,,
172,22,1,2,3,22,70,373.045646,376.0088899,stimuli/151_xa.png,l,2.952504939,harmless,0.333,6.610169492,0.947172729,0.123311386
,,,,,,,,,,,,,,,,
172,22,1,2,3,23,71,376.6252592,382.0728879,stimuli/331_za.png,l,5.437315483,awful,0.333,1.983606557,1.638004917,0.209725039
,,,,,,,,,,,,,,,,
172,22,1,2,3,24,72,382.6896297,385.272914,stimuli/323_yb.png,l,2.572936326,ambig,0.333,4.603448276,1.955107169,0.256718148
,,,,,,,,,,,,,,,,
172,22,1,2,4,1,73,394.139286,398.1928502,stimuli/239_ya.png,l,4.043048935,ambig,0.333,5.157894737,1.925296579,0.255011762
,,,,,,,,,,,,,,,,
172,22,1,2,4,2,74,398.7966132,400.9448895,stimuli/110_xa.png,l,2.137749974,harmless,0.333,6.428571429,1.059281795,0.141552484
,,,,,,,,,,,,,,,,
172,22,1,2,4,3,75,401.5647558,404.208873,stimuli/295_za.png,a,2.633665004,awful,0.333,2.3,1.825432384,0.235662307
,,,,,,,,,,,,,,,,
172,22,1,2,4,4,76,404.8391506,407.6968891,stimuli/118_xb.png,l,2.847271278,harmless,0.333,6.474576271,0.953323265,0.124112118
,,,,,,,,,,,,,,,,
172,22,1,2,4,5,77,408.3123671,414.0649113,stimuli/308_zb.png,a,5.741967119,awful,0.333,1.644067797,1.471132708,0.191525165
,,,,,,,,,,,,,,,,
172,22,1,2,4,6,78,414.6343373,418.0568442,stimuli/278_xb.png,l,3.412403941,harmless,0.333,6.360655738,1.140654591,0.146045855
,,,,,,,,,,,,,,,,
172,22,1,2,4,7,79,418.6663814,421.2488846,stimuli/230_yb.png,l,2.571924143,ambig,0.333,4.98245614,1.875511626,0.248417583
,,,,,,,,,,,,,,,,
172,22,1,2,4,8,80,421.8668159,423.8248547,stimuli/205_yb.png,l,1.947573988,ambig,0.333,5.847457627,1.52918233,0.199082582
,,,,,,,,,,,,,,,,
172,22,1,2,4,9,81,424.4383411,428.4408833,stimuli/252_zb.png,a,3.992056522,awful,0.333,2.711864407,1.983125776,0.258180985
,,,,,,,,,,,,,,,,
172,22,1,2,4,10,82,429.0202169,431.5448228,stimuli/162_xa.png,l,2.514185543,harmless,0.333,6.644067797,0.905209289,0.117848212
,,,,,,,,,,,,,,,,
172,22,1,2,4,11,83,432.1640601,434.8888783,stimuli/249_ya.png,l,2.714378212,ambig,0.333,5.327868852,1.859402337,0.238072074
,,,,,,,,,,,,,,,,
172,22,1,2,4,12,84,435.5059652,438.7928725,stimuli/363_zb.png,l,3.276475111,awful,0.333,2.433333333,2.019956927,0.260775318
,,,,,,,,,,,,,,,,
172,22,1,2,4,13,85,439.4354361,443.1048768,stimuli/272_xb.png,l,3.658924312,harmless,0.333,6.355932203,1.029943284,0.134087194
,,,,,,,,,,,,,,,,
172,22,1,2,4,14,86,443.7296063,447.1608423,stimuli/373_zb.png,l,3.420631776,awful,0.333,2.327586207,1.858011869,0.243968911
,,,,,,,,,,,,,,,,
172,22,1,2,4,15,87,447.7540393,451.3288251,stimuli/156_xc.png,l,3.564386325,harmless,0.333,6.590163934,0.955284411,0.122311635
,,,,,,,,,,,,,,,,
172,22,1,2,4,16,88,451.9489761,455.024832,stimuli/355_zb.png,l,3.065281536,awful,0.333,3.183333333,2.070713188,0.267327923
,,,,,,,,,,,,,,,,
172,22,1,2,4,17,89,455.6225396,458.5768401,stimuli/254_ya.png,l,2.943968329,ambig,0.333,5.983606557,1.627798137,0.208418195
,,,,,,,,,,,,,,,,
172,22,1,2,4,18,90,459.1501853,462.6808115,stimuli/339_ya.png,l,3.520871865,ambig,0.333,4.949152542,1.960152429,0.25519011
,,,,,,,,,,,,,,,,
